block,cond_file,ready_msg,fdbk_msg,pair,allowed,correct,state,position,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_key_resp.keys,trial_key_resp.corr,trial_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",2G,fj,j,TopLeft,"[-0.3, 0.3]",0,0,0,0,0,0,0,0,j,1,1.7342031999999108,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",5I,fj,f,TopRight,"[0.3, 0.3]",0,0,0,0,0,1,1,1,f,1,0.7836930000000848,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",2K,fj,j,TopLeft,"[-0.3, 0.3]",0,0,0,0,0,2,2,2,f,0,0.8228732000000036,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",7A,fj,f,TopRight,"[0.3, 0.3]",0,0,0,0,0,3,3,3,j,0,0.47652369999991606,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",1E,fj,f,TopLeft,"[-0.3, 0.3]",0,0,0,0,0,4,4,4,f,1,0.1839517999999316,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",6R,fj,j,TopRight,"[0.3, 0.3]",0,0,0,0,0,5,5,5,j,1,0.11077550000004521,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",9I,fj,f,TopLeft,"[-0.3, 0.3]",0,0,0,0,0,6,6,6,f,1,0.08083680000004279,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",6M,fj,j,TopRight,"[0.3, 0.3]",0,0,0,0,0,7,7,7,j,1,0.07588680000003478,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",1R,fj,f,TopLeft,"[-0.3, 0.3]",0,0,0,0,0,8,8,8,f,1,0.07216809999999896,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",2R,fj,j,TopRight,"[0.3, 0.3]",0,0,0,0,0,9,9,9,j,1,0.092346599999928,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",9E,fj,f,TopLeft,"[-0.3, 0.3]",0,0,0,0,0,10,10,10,f,1,0.031341299999894545,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8

Press SPACE to begin.","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. 

Press SPACE to continue.",7K,fj,f,TopRight,"[0.3, 0.3]",0,0,0,0,0,11,11,11,j,0,0.10956179999993765,,001,2019_Oct_09_1254,Number_Letter_Task,3.1.5,60.01006968968625,
