block,cond_file,ready_msg,fdbk_msg,pair,allowed,correct,state,position,num_reminder,lett_reminder,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_key_resp.keys,trial_key_resp.corr,trial_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",2G,fj,j,TopLeft,"[-0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,0,0,0,j,1,0.9271821999996064,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",5I,fj,f,TopRight,"[0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,1,1,1,j,0,0.11230579999983092,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",2K,fj,j,TopLeft,"[-0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,2,2,2,j,1,0.12236309999980222,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",7A,fj,f,TopRight,"[0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,3,3,3,j,0,0.09164959999998246,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",1E,fj,f,TopLeft,"[-0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,4,4,4,j,0,0.1185737999999219,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",6R,fj,j,TopRight,"[0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,5,5,5,j,1,0.12004160000014963,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",9I,fj,f,TopLeft,"[-0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,6,6,6,j,0,0.12939679999999498,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",6M,fj,j,TopRight,"[0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,7,7,7,j,1,0.12246489999961341,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",1R,fj,f,TopLeft,"[-0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,8,8,8,j,0,0.12450349999971877,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",2R,fj,j,TopRight,"[0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,9,9,9,j,1,0.1344384000003629,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",9E,fj,f,TopLeft,"[-0.3, 0.3]",F = Odd        J = Even, ,0,0,0,0,0,10,10,10,j,0,0.12859459999981482,,001,2019_Oct_09_1321,Number_Letter_Task,3.1.5,59.96544790901978,
